lat_aod,lon_aod,pred_pm25
34.05,65.65,129.57414154093757
34.05,66.15,129.30118569648965
34.05,66.25,129.30118569648965
34.05,68.75,129.58547455737676
34.05,68.85,129.58547455737676
34.05,69.35,130.62831428285034
34.05,69.45,130.62831428285034
34.05,69.95,130.0534704894063
34.05,70.05,130.0534704894063
34.05,70.55,127.67282020109442
34.05,70.65,127.67282020109442
34.05,71.15,128.36696034650086
34.05,71.25,126.17438845852175
34.05,73.75,124.87687839821508
34.05,73.85,124.87687839821508
34.05,74.35,130.00766185728796
34.05,74.45,130.00766185728796
34.05,74.95,131.2521509374914
34.05,75.05,131.2521509374914
34.05,75.55,128.47144697382473
34.05,75.65,128.47144697382473
34.05,76.15,128.53273914633223
34.05,76.25,128.53273914633223
34.05,78.75,127.98202006946225
34.05,78.85,127.98202006946225
34.05,79.35,129.77405242878908
34.05,79.44999999999999,129.77405242878908
34.05,80.05,129.388157383825
34.05,80.55,126.73927226310352
34.05,80.65,126.73927226310352
34.05,81.15,127.34840317656506
34.05,81.25,127.34840317656506
34.05,81.94999999999999,126.95601269861642
34.05,83.75,128.5696270964057
34.05,83.85,128.5696270964057
34.05,84.35,128.01475505841614
34.05,84.45,128.01475505841614
34.05,84.95,126.41985077538986
34.05,85.05,126.41985077538986
34.05,85.55,126.33665346769754
34.05,85.65,126.33665346769754
34.05,86.15,126.9633914484668
34.05,86.25,126.9633914484668
34.05,88.75,125.4659017917891
34.05,88.85,125.4659017917891
34.05,89.35,128.87102373246597
34.05,89.45,128.87102373246597
34.05,89.95,128.9621574466624
34.05,90.05,128.9621574466624
34.05,90.55,128.78841855785683
34.05,90.65,128.78841855785683
34.05,91.15,129.93448707742496
34.05,91.25,129.93448707742496
34.05,93.75,126.73972286615468
34.05,93.85,126.73972286615468
34.05,94.35,129.75548305139523
34.05,94.45,129.75548305139523
34.05,94.95,129.9416039796564
34.05,95.05,129.9416039796564
34.05,95.55,129.60878993036062
34.05,95.65,129.60878993036062
34.05,96.15,125.98115190418548
34.05,96.25,125.98115190418548
34.05,98.75,130.0248254802581
34.05,98.85,130.0248254802581
33.05,65.55,129.27718215353062
33.05,65.65,129.27718215353062
33.05,66.15,129.71367765523658
33.05,66.25,129.71367765523658
33.05,68.75,129.5025192208383
33.05,68.85,129.5025192208383
33.05,69.35,130.575000889423
33.05,69.45,130.575000889423
33.05,69.95,127.07291231958078
33.05,70.05,127.07291231958078
33.05,70.55,128.8410044252252
33.05,70.65,128.8410044252252
33.05,71.15,129.81968323846615
33.05,71.25,129.81968323846615
33.05,73.75,126.62439323868136
33.05,73.85,126.62439323868136
33.05,74.35,126.24477929812414
33.05,74.45,126.24477929812414
33.05,74.95,127.60323359986515
33.05,75.05,127.60323359986515
33.05,75.55,127.9999656490385
33.05,75.65,127.17369002767914
33.05,76.15,124.83136753935223
33.05,76.25,124.83136753935223
33.05,78.75,127.17684612159792
33.05,78.85,127.17684612159792
33.05,79.35,128.09540426725349
33.05,79.44999999999999,128.09540426725349
33.05,80.05,128.72503440752095
33.05,80.55,129.58665473920757
33.05,80.65,129.58665473920757
33.05,81.15,131.55601130566663
33.05,81.25,131.55601130566663
33.05,81.94999999999999,131.7861285632961
33.05,83.75,131.14716435534078
33.05,83.85,131.14716435534078
33.05,84.35,127.90678283157797
33.05,84.45,127.90678283157797
33.05,84.95,127.49167746732097
33.05,85.05,127.49167746732097
33.05,85.55,127.5900188268295
33.05,85.65,127.5900188268295
33.05,86.15,124.15061526659989
33.05,86.25,124.15061526659989
33.05,88.75,128.46539926443577
33.05,88.85,128.46539926443577
33.05,89.35,130.6989061033451
33.05,89.45,130.6989061033451
33.05,89.95,128.41578084364878
33.05,90.05,128.41578084364878
33.05,90.55,127.03474844254079
33.05,90.65,127.03474844254079
33.05,91.15,127.31118018472762
33.05,91.25,127.31118018472762
33.05,93.75,130.25097092998234
33.05,93.85,130.25097092998234
33.05,94.35,129.7989005483509
33.05,94.45,129.7989005483509
33.05,94.95,129.69927250959844
33.05,95.05,129.69927250959844
33.05,95.55,129.32783923482705
