lat_aod,lon_aod,pred_pm25
31.049999999999997,93.75,126.43175335933091
31.049999999999997,93.85,126.43175335933091
31.049999999999997,94.35,126.77059567150353
31.049999999999997,94.45,126.77059567150353
31.049999999999997,94.95,126.32341545673091
31.049999999999997,95.05,126.32341545673091
31.049999999999997,95.55,128.31975674457462
31.049999999999997,95.65,128.31975674457462
31.049999999999997,96.15,127.46869319612617
31.049999999999997,96.25,127.46869319612617
31.049999999999997,98.75,127.8819831964755
31.049999999999997,98.85,127.8819831964755
30.049999999999997,65.55,132.03878856666262
30.049999999999997,65.65,132.03878856666262
30.049999999999997,66.15,129.0779994807749
30.049999999999997,66.25,129.0779994807749
30.049999999999997,68.75,130.42256974215542
30.049999999999997,68.85,130.42256974215542
30.049999999999997,69.35,127.05487233325492
30.049999999999997,69.45,127.05487233325492
30.049999999999997,69.95,124.83519711729616
30.049999999999997,70.05,124.83519711729616
30.049999999999997,70.55,124.51369391442807
30.049999999999997,70.65,124.51369391442807
30.049999999999997,71.15,127.24565975767497
30.049999999999997,71.25,127.24565975767497
30.049999999999997,73.75,129.65575264664886
30.049999999999997,73.85,129.65575264664886
30.049999999999997,74.35,124.92814970112063
30.049999999999997,74.45,124.92814970112063
30.049999999999997,74.95,131.6034946797322
30.049999999999997,75.05,131.6034946797322
30.049999999999997,75.55,135.9669975152172
30.049999999999997,75.65,135.9669975152172
30.049999999999997,76.15,138.46914634019004
30.049999999999997,76.25,138.46914634019004
30.049999999999997,78.75,129.1475552675303
30.049999999999997,78.85,129.1475552675303
30.049999999999997,79.35,124.91467146923986
30.049999999999997,79.44999999999999,124.91467146923986
30.049999999999997,80.05,123.6303075849187
30.049999999999997,80.55,126.71670613182903
30.049999999999997,80.65,126.71670613182903
30.049999999999997,81.15,126.76937596153859
30.049999999999997,81.25,126.76937596153859
30.049999999999997,81.94999999999999,126.80897995192319
30.049999999999997,83.75,125.99554262019242
30.049999999999997,83.85,125.99554262019242
30.049999999999997,84.35,126.22964411057704
30.049999999999997,84.45,126.22964411057704
30.049999999999997,84.95,126.40501343172745
30.049999999999997,85.05,126.40501343172745
30.049999999999997,85.55,125.8239581292665
30.049999999999997,85.65,125.8239581292665
30.049999999999997,86.15,126.0748368928351
30.049999999999997,86.25,126.0748368928351
30.049999999999997,88.75,125.44964692307705
30.049999999999997,88.85,125.44964692307705
30.049999999999997,89.35,125.20007675170609
30.049999999999997,89.45,125.20007675170609
30.049999999999997,89.95,126.51345893899219
30.049999999999997,90.05,126.51345893899219
30.049999999999997,90.55,126.91296593750012
30.049999999999997,90.65,126.91296593750012
30.049999999999997,91.15,127.38279552996931
30.049999999999997,91.25,127.38279552996931
30.049999999999997,93.75,126.86355160958772
30.049999999999997,93.85,126.86355160958772
30.049999999999997,94.35,126.95831456321676
30.049999999999997,94.45,126.95831456321676
30.049999999999997,94.95,128.2005299560568
30.049999999999997,95.05,128.2005299560568
30.049999999999997,95.55,128.21505254211024
30.049999999999997,95.65,128.21505254211024
30.049999999999997,96.15,127.4100055614116
30.049999999999997,96.25,127.4100055614116
30.049999999999997,98.75,126.70472447298306
30.049999999999997,98.85,126.70472447298306
29.049999999999997,65.55,132.61600042995494
29.049999999999997,65.65,132.61600042995494
29.049999999999997,66.15,130.92037832525412
29.049999999999997,66.25,130.92037832525412
29.049999999999997,68.75,130.42482799730087
29.049999999999997,68.85,130.42482799730087
29.049999999999997,69.35,126.63348864178396
29.049999999999997,69.45,126.63348864178396
29.049999999999997,69.95,129.18015333726487
29.049999999999997,70.05,129.18015333726487
29.049999999999997,70.55,129.11565988002337
29.049999999999997,70.65,129.11565988002337
29.049999999999997,71.15,129.32192301899207
29.049999999999997,71.25,129.32192301899207
29.049999999999997,73.75,136.77519451084905
29.049999999999997,73.85,136.77519451084905
29.049999999999997,74.35,134.54030312161882
29.049999999999997,74.45,134.54030312161882
29.049999999999997,74.95,137.11088917748575
29.049999999999997,75.05,137.11088917748575
29.049999999999997,75.55,139.00300328377824
29.049999999999997,75.65,139.00300328377824
29.049999999999997,76.15,126.41504887018814
29.049999999999997,76.25,126.41504887018814
29.049999999999997,78.75,130.81731087371782
29.049999999999997,78.85,130.09717795344807
29.049999999999997,79.35,129.47046325322748
29.049999999999997,79.44999999999999,129.47046325322748
29.049999999999997,80.05,129.67068605915753
29.049999999999997,80.55,130.32756157516306
29.049999999999997,80.65,130.32756157516306
29.049999999999997,81.15,128.54520250554611
29.049999999999997,81.25,128.54520250554611
29.049999999999997,81.94999999999999,126.67590797688925
29.049999999999997,83.75,126.30758237980783
29.049999999999997,83.85,126.30758237980783
29.049999999999997,84.35,126.30758237980783
29.049999999999997,84.45,126.30758237980783
29.049999999999997,84.95,126.41773221153859
29.049999999999997,85.05,126.41773221153859
29.049999999999997,85.55,127.37475951923086
29.049999999999997,85.65,127.37475951923086
29.049999999999997,86.15,127.4695224728599
29.049999999999997,86.25,127.4695224728599
29.049999999999997,88.75,125.84675507211551
29.049999999999997,88.85,125.84675507211551
29.049999999999997,89.35,126.68971953070987
29.049999999999997,89.45,126.68971953070987
29.049999999999997,89.95,126.69258447115396
29.049999999999997,90.05,126.69258447115396
29.049999999999997,90.55,131.6316644389553
29.049999999999997,90.65,131.6316644389553
29.049999999999997,91.15,126.9202313298669
29.049999999999997,91.25,126.9202313298669
29.049999999999997,93.75,126.7093782535083
29.049999999999997,93.85,126.7093782535083
29.049999999999997,94.35,128.16613754212997
29.049999999999997,94.45,128.16613754212997
29.049999999999997,94.95,132.2233907268116
29.049999999999997,95.05,132.2233907268116
29.049999999999997,95.55,128.93720132508872
29.049999999999997,95.65,128.93720132508872
29.049999999999997,96.15,128.9550686341365
29.049999999999997,96.25,128.9550686341365
29.049999999999997,98.75,129.17026847131118
29.049999999999997,98.85,129.17026847131118
28.049999999999997,65.55,127.91903019955788
28.049999999999997,65.65,127.91903019955788
28.049999999999997,66.15,126.7127103089012
28.049999999999997,66.25,126.7127103089012
28.049999999999997,68.75,140.34941640314307
28.049999999999997,68.85,140.34941640314307
28.049999999999997,69.35,136.2563209387901
28.049999999999997,69.45,136.2563209387901
28.049999999999997,69.95,130.64259756060733
28.049999999999997,70.05,130.64259756060733
28.049999999999997,70.55,123.97565534256708
28.049999999999997,70.65,123.97565534256708
28.049999999999997,71.15,125.07236649201239
28.049999999999997,71.25,125.07236649201239
28.049999999999997,73.75,124.42005820596577
28.049999999999997,73.85,124.42005820596577
